2026-02-24 13:20:36.265 | INFO     | __main__:on_message:103 - Пришло сообщение: <paho.mqtt.client.Client object at 0x0000024093953220>, None, <paho.mqtt.client.MQTTMessage object at 0x000002409399C270>, SP008/connected, b'1'
2026-02-24 13:20:44.716 | INFO     | __main__:on_message:103 - Пришло сообщение: <paho.mqtt.client.Client object at 0x0000024093953220>, None, <paho.mqtt.client.MQTTMessage object at 0x000002409399C270>, SP008/lightup, b'1'
2026-02-24 13:21:23.868 | INFO     | __main__:main:161 - Получен сигнал остановки
2026-02-24 13:21:24.316 | INFO     | __main__:main:155 - Устройство запущено. Ожидание сообщений...
2026-02-24 13:21:24.376 | INFO     | __main__:on_message:101 - Пришло сообщение: <paho.mqtt.client.Client object at 0x0000021345BA30D0>, None, <paho.mqtt.client.MQTTMessage object at 0x0000021345BEC2E0>, SP008/connected, b'1'
2026-02-24 13:21:26.532 | INFO     | __main__:on_message:101 - Пришло сообщение: <paho.mqtt.client.Client object at 0x0000021345BA30D0>, None, <paho.mqtt.client.MQTTMessage object at 0x0000021345BEC2E0>, SP008/lightup, b'1'
2026-02-24 13:22:12.192 | INFO     | __main__:main:159 - Получен сигнал остановки
2026-02-24 13:22:13.316 | INFO     | __main__:main:156 - Устройство запущено. Ожидание сообщений...
2026-02-24 13:22:13.375 | INFO     | __main__:on_message:102 - Пришло сообщение: <paho.mqtt.client.Client object at 0x00000174150530D0>, None, <paho.mqtt.client.MQTTMessage object at 0x000001741509C270>, SP008/connected, b'1'
2026-02-24 13:22:15.045 | INFO     | __main__:on_message:102 - Пришло сообщение: <paho.mqtt.client.Client object at 0x00000174150530D0>, None, <paho.mqtt.client.MQTTMessage object at 0x000001741509C270>, SP008/lightup, b'1'
2026-02-24 13:22:33.427 | INFO     | __main__:main:160 - Получен сигнал остановки
2026-02-24 13:22:34.627 | INFO     | __main__:main:155 - Устройство запущено. Ожидание сообщений...
2026-02-24 13:22:34.687 | INFO     | __main__:on_message:101 - Пришло сообщение: <paho.mqtt.client.Client object at 0x000001EABAA630D0>, None, <paho.mqtt.client.MQTTMessage object at 0x000001EABAAAC2E0>, SP008/connected, b'1'
2026-02-24 13:22:37.022 | INFO     | __main__:on_message:101 - Пришло сообщение: <paho.mqtt.client.Client object at 0x000001EABAA630D0>, None, <paho.mqtt.client.MQTTMessage object at 0x000001EABAAAC2E0>, SP008/lightup, b'1'
2026-02-24 13:23:00.397 | INFO     | __main__:main:159 - Получен сигнал остановки
2026-02-24 13:23:01.572 | INFO     | __main__:main:155 - Устройство запущено. Ожидание сообщений...
2026-02-24 13:23:01.631 | INFO     | __main__:on_message:101 - Пришло сообщение: <paho.mqtt.client.Client object at 0x00000172A3823160>, None, <paho.mqtt.client.MQTTMessage object at 0x00000172A386C350>, SP008/connected, b'1'
2026-02-24 13:23:03.285 | INFO     | __main__:on_message:101 - Пришло сообщение: <paho.mqtt.client.Client object at 0x00000172A3823160>, None, <paho.mqtt.client.MQTTMessage object at 0x00000172A386C350>, SP008/lightup, b'1'
2026-02-24 13:23:59.605 | INFO     | __main__:main:159 - Получен сигнал остановки
2026-02-24 13:24:00.186 | INFO     | __main__:main:156 - Устройство запущено. Ожидание сообщений...
2026-02-24 13:24:00.249 | INFO     | __main__:on_message:102 - Пришло сообщение: <paho.mqtt.client.Client object at 0x0000014E8FBC3190>, None, <paho.mqtt.client.MQTTMessage object at 0x0000014E8FC0C2E0>, SP008/connected, b'1'
